Profile ID,Organization Name,Membership Level Name,Primary Listing Category,Profile County,Resolved County,Profile Zip Code,is_active,is_dup_by_address,is_additional_listing_tier,is_non_covered_category,is_in_county,is_tier_a,is_tier_b
432,The Douglass Theatre,Basic Membership,"Arts, Entertainment & Attractions",Bibb,Bibb,31201,True,False,False,False,True,True,True
438,"Dunwody/Beeland Architects, Inc.",Economic Driver,"Architects, Engineers & Planners",Bibb,Bibb,31201,True,False,False,False,True,True,True
441,"1842 Inn, LLC",Basic Membership,Lodging & Venues,Bibb,Bibb,31201,True,False,False,False,True,True,True
444,Coldwell Banker Commercial Eberhardt & Barry,Basic Membership,Real Estate,Bibb,Bibb,31201,True,False,False,False,True,True,True
476,"Family Counseling Center of Central Ga, Inc.",Basic Membership,Health Care & Medical Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
490,"Fickling & Company, Inc.",Economic Driver,Real Estate,Bibb,Bibb,31201,True,False,False,False,True,True,True
494,"Fincher's Barbecue and Catering, Inc.",Business Catalyst,Restaurants & Catering,Bibb,Bibb,31211,True,False,False,False,True,True,True
508,First Presbyterian Day School,Basic Membership,Education,Bibb,Bibb,31210,True,False,False,False,True,True,True
510,Capital City Bank,Basic Membership,Banking,Bibb,Bibb,31201,True,False,False,False,True,True,True
526,Fort Valley State University,Basic Membership,Education,Peach,Peach,31030,True,False,False,False,False,True,True
550,Triple-S Steel of Georgia,Economic Driver,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31206,True,False,False,False,True,True,True
554,Georgia Industrial Children's Home/Twin Cedars Inc,Basic Membership,Youth Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
557,Georgia Department of Labor,Basic Membership,Government,Bibb,Bibb,31204,True,False,False,True,True,True,False
559,Georgia Employers' Association,Basic Membership,Non-Profit Organizations,Bibb,Bibb,31210,True,False,False,False,True,True,True
560,Georgia Farm Bureau,Leading Investor,Insurance,Bibb,Bibb,31210,True,False,False,False,True,True,True
571,Georgia Power Company,Regional Influencer,Utilities & Internet Service Providers,Bibb,Bibb,31204,True,False,False,False,True,True,True
573,Georgia Sports Hall of Fame,Basic Membership,"Arts, Entertainment & Attractions",Bibb,Bibb,31201,True,False,False,False,True,True,True
581,"Terracon Consultants, Inc.",Business Catalyst,Construction & Building Services,Bibb,Bibb,31204,True,False,False,False,True,True,True
583,GIGA Inc,Business Catalyst,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31216,True,True,False,False,True,True,True
592,"Goodwill Industries of Middle Georgia, Inc.",Basic Membership,Non-Profit Organizations,Bibb,Bibb,31206,True,False,False,False,True,True,True
597,GEICO,Key Stakeholder,Insurance,Bibb,Bibb,31295,True,False,False,False,True,True,True
601,The Grand Opera House,Additional Listing - Cornerstone (Unpaid),"Arts, Entertainment & Attractions",Bibb,Bibb,31201,True,True,True,False,True,True,True
614,Collins Manufacturing Company,Business Catalyst,Aerospace,Bibb,Bibb,31206,True,False,False,False,True,True,True
623,H&H Soul Food,Additional Listing - Cornerstone (Unpaid),Restaurants & Catering,Bibb,Bibb,31201,True,False,True,False,True,True,True
624,Piedmont Macon Medical Center,Regional Influencer,Health Care & Medical Services,Bibb,Bibb,31217,True,False,False,False,True,True,True
627,Atrium Health Navicent Wound Care,Additional Listing - Cornerstone (Unpaid),Healthcare - Vascular & Interventional,Bibb,Bibb,31201,True,False,True,False,True,True,True
631,Piedmont Macon North Hospital,Additional Listing - Cornerstone (Unpaid),Health Care & Medical Services,Bibb,Bibb,31210,True,False,True,False,True,True,True
651,Fall Line Church,Basic Membership,Places of Worship,Bibb,Bibb,31206,True,False,False,True,True,True,False
658,"Constangy, Brooks, Smith & Prophete, LLP",Basic Membership,Legal Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
659,"Hays Service, LLC",Business Catalyst,HVAC Service & Maintenance,Bibb,Bibb,31210,True,True,False,False,True,True,True
660,Heart of Georgia Insurance Brokers,Basic Membership,Insurance,Bibb,Bibb,31201,True,False,False,False,True,True,True
