"1231","2618 Riverside Drive, Macon, GA, 31204","Match","Exact","2618 RIVERSIDE DR, MACON, GA, 31204","-83.663313056725,32.874095558691","81084633","L"
"75298","496 Second Street, Macon, GA, 31201","Match","Exact","496 2ND ST, MACON, GA, 31201","-83.629887177536,32.835455844407","81084110","L"
"75296","3424 Peachtree Road NE, Suite 2300, Atlanta, GA, 30326","Match","Exact","3424 PEACHTREE RD NE, ATLANTA, GA, 30326","-84.362760192971,33.849900958157","650072860","L"
"78671","1955 Dove Street, Macon, GA, 31204","Match","Exact","1955 DOVE ST, MACON, GA, 31204","-83.654862996057,32.82352194868","81061519","R"
"76493","P.O. Box 5395, Macon, GA, 31208","No_Match"
"1228","1572 Schofield Street, Macon, GA, 31201","Match","Exact","1572 SCHOFIELD ST, MACON, GA, 31201","-83.639797666603,32.848777657868","81061186","L"
"78430","651 Martin Luther King Jr. Blvd, Macon, GA, 31201","Match","Exact","651 MARTIN LUTHER KING JR BLVD, MACON, GA, 31201","-83.629062416074,32.831184390231","81063073","R"
"78793","971 Washington Avenue, Macon, GA, 31201","Match","Exact","971 WASHINGTON AVE, MACON, GA, 31201","-83.63619720288,32.838278087522","81061829","R"
"56788","5080 Riverside Drive, # 1500, Macon, GA, 31210","Match","Exact","5080 RIVERSIDE DR, MACON, GA, 31210","-83.713976046306,32.929498702275","81086310","L"
"78312","997 Celebration Court, Locust Grove, GA, 30248","No_Match"
"1346","P.O. Box 6968, Warner Robins, GA, 31095","No_Match"
"78795","304 Pierce Avenue, Macon, GA, 31204","Match","Exact","304 PIERCE AVE, MACON, GA, 31204","-83.662513682193,32.850890112589","81076595","L"
"1344","310 Cherry Street, Macon, GA, 31201","Match","Exact","310 CHERRY ST, MACON, GA, 31201","-83.625229924731,32.834226923419","81063005","L"
"78676","3920 Arkwright Road, Suite 380, Box 31, Macon, Georgia, 31210","Match","Exact","3920 ARKWRIGHT RD, MACON, GA, 31210","-83.68724245955,32.905905361091","640442137","L"
"78437","410 Green Fern Road, Lizella, GA, 31052","Match","Exact","410 GREEN FERN RD, LIZELLA, GA, 31052","-83.772602111283,32.742482619963","650733892","L"
"922","3780 Eisenhower Parkway, Macon, GA, 31206","Match","Exact","3780 EISENHOWER PKWY, MACON, GA, 31206","-83.702698992384,32.815975028329","639987874","L"
"78317","305 Treyburne Court, Macon, GA, 31210","Match","Exact","305 TREYBURNE CT, MACON, GA, 31210","-83.717418293293,32.855984776908","81081526","R"
"925","3330 Northside Drive, Suite 100, Macon, GA, 31210","No_Match"
"3766","6931 US Highway 41, Macon, GA, 31210","No_Match"
"57517","543 Cherry Street, Macon, GA, 31201","Match","Exact","543 CHERRY ST, MACON, GA, 31201","-83.62817994321,32.836134502167","81062849","R"
"927","777 Hemlock Street, Macon, GA, 31201","Match","Exact","777 HEMLOCK ST, MACON, GA, 31201","-83.636290487022,32.833119615795","81084085","R"
"1109","660 Allied Industrial Blvd., Macon, GA, 31206","Match","Exact","660 ALLIED INDUSTRIAL BLVD, MACON, GA, 31206","-83.645610458486,32.77603785737","81070721","R"
"10786","4875 Riverside Drive, Suite 100, Macon, GA, 31210","Match","Exact","4875 RIVERSIDE DR, MACON, GA, 31210","-83.711746830326,32.925425347585","81084839","L"
"929","2490 Riverside Drive, Macon, GA, 31204","Match","Exact","2490 RIVERSIDE DR, MACON, GA, 31204","-83.658870222108,32.869163228214","81084456","L"
"71700","4358 Riverside Drive, Macon, GA, 31210","Match","Exact","4358 RIVERSIDE DR, MACON, GA, 31210","-83.704712396328,32.914619639989","81086347","L"
"74099","6060 Lakeside Commons Drive, Macon, GA, 31210","No_Match"
"78220","315 S. Houston Lake, Warner Robins, GA, 31088","Match","Non_Exact","315 S HOUSTON LAKE RD, WARNER ROBINS, GA, 31088","-83.680282765697,32.613853958096","91258873","L"
"74096","501 Walnut Street 2nd Floor, Macon, GA, 31201","Match","Exact","501 WALNUT ST, MACON, GA, 31201","-83.625411124539,32.838454632536","81062897","R"
"75185","7536 Knoxville Road, Lizella, GA, 31052","Match","Exact","7536 KNOXVILLE RD, LIZELLA, GA, 31052","-83.794556143974,32.78975227114","81076510","R"
"1117","6600 Hawkinsville Road, Macon, GA, 31216","Match","Exact","6600 HAWKINSVILLE RD, MACON, GA, 31216","-83.654665041123,32.727319526778","81090123","L"
"59701","1720 Highway 49 N, Byron, GA, 31008","Match","Non_Exact","1720 STATE RTE 49, BYRON, GA, 31008","-83.723430568179,32.672336601784","648174785","R"
"78221","871 Warren Drive, Warner Robins, GA, 31088","Match","Exact","871 WARREN DR, WARNER ROBINS, GA, 31088","-83.668000019943,32.554833095107","629550007","R"
"56315","331 Third Street, Macon, GA, 31201","Match","Exact","331 3RD ST, MACON, GA, 31201","-83.626976423523,32.836598598672","81084185","R"
"56678","4875 Riverside Drive, Suite 200, Macon, GA, 31210","Match","Exact","4875 RIVERSIDE DR, MACON, GA, 31210","-83.711746830326,32.925425347585","81084839","L"
"1357","277 Martin Luther King Jr. Blvd, Suite 301, Macon, GA, 31201","Match","Exact","277 MARTIN LUTHER KING JR BLVD, MACON, GA, 31201","-83.623567848447,32.835573719524","81077236","R"
"74090","456 Bay Street, Macon, GA, 31201","Match","Exact","456 BAY ST, MACON, GA, 31201","-83.633731644251,32.827048646337","81063044","L"
"930","1650 Hardeman Avenue, Macon, GA, 31204","Match","Non_Exact","1650 HARDEMAN AVE, MACON, GA, 31201","-83.645329775435,32.840721521184","81061659","L"
"1232","2614 Riverside Drive, Macon, GA, 31204","Match","Exact","2614 RIVERSIDE DR, MACON, GA, 31204","-83.663255939658,32.874026758577","81084633","L"
"932","888 Pine Street, Macon, GA, 31201","Match","Exact","888 PINE ST, MACON, GA, 31201","-83.636572461694,32.835161172709","81061869","L"
"812","7705 N.E. Industrial Blvd., Macon, GA, 31216","Match","Exact","7705 NE INDUSTRIAL BLVD, MACON, GA, 31216","-83.663800104447,32.698912586369","81066422","L"
"72906","1018 South Wood Drive, Okmulgee, OK, 74447","Match","Exact","1018 S WOOD DR, OKMULGEE, OK, 74447","-95.961860974727,35.613735121586","166248984","L"
"935","635 Pio Nono Avenue, Macon, GA, 31204","Match","Exact","635 PIO NONO AVE, MACON, GA, 31204","-83.662471085791,32.84091799896","81059495","R"
"58738","1809 Hardeman Avenue, Macon, GA, 31201","Match","Exact","1809 HARDEMAN AVE, MACON, GA, 31201","-83.646796577862,32.841181084844","81061642","R"
"59948","2950 Heath Road, Macon, GA, 31206","Match","Exact","2950 HEATH RD, MACON, GA, 31206","-83.745462780947,32.812879070413","623833210","L"
"938","484 Mulberry Street #220, Macon, GA, 31201","Match","Exact","484 MULBERRY ST, MACON, GA, 31201","-83.626241856742,32.836662470997","81085936","L"
"11964","2321 Vineville Avenue, Macon, GA, 31204","Match","Exact","2321 VINEVILLE AVE, MACON, GA, 31204","-83.65591346051,32.845744707534","81060915","R"
"939","175 Emery Highway, Macon, GA, 31217","Match","Exact","175 EMERY HWY, MACON, GA, 31217","-83.62332436408,32.848145437666","638938473","R"
"71832","304 Moore Road, Macon, GA, 31220","Match","Exact","304 MOORE RD, MACON, GA, 31220","-83.865118277488,32.923618531149","66666974","L"
"1010","1347 Georgia Avenue, Macon, GA, 31201","Match","Exact","1347 GEORGIA AVE, MACON, GA, 31201","-83.641236717191,32.840743265705","81061695","R"
"1252","1030 Georgia Avenue, Room 106, Macon, GA, 31201","Match","Exact","1030 GEORGIA AVE, MACON, GA, 31201","-83.635294447812,32.840873222707","81062688","L"
"58860","910 Riverside Drive, Macon, GA, 31201","Match","Exact","910 RIVERSIDE DR, MACON, GA, 31201","-83.630564462671,32.843387026792","81062712","L"
"1250","1419 Bass Road, Macon, GA, 31210","Match","Exact","1419 BASS RD, MACON, GA, 31210","-83.740400964427,32.922583618601","81084824","R"
"78690","855 Tolliver Place, Macon, GA, 31210","Match","Exact","855 TOLLIVER PL, MACON, GA, 31210","-83.702124929162,32.90677023763","81056894","R"
"61912","5429 Bowman Road, Suite 110, Macon, GA, 31210","Match","Exact","5429 BOWMAN RD, MACON, GA, 31210","-83.731186233296,32.925084445172","81074902","L"
"78450","112 Wright Drive NE, Milledgeville, GA, 31061","Match","Non_Exact","112 WRIGHTS DR NE, MILLEDGEVILLE, GA, 31061","-83.255487174476,33.115128362772","640059083","L"
"1008","4182 Forsyth Road, Macon, GA, 31210","Match","Exact","4182 FORSYTH RD, MACON, GA, 31210","-83.695371457667,32.866772023339","81078437","L"
"57413","461 Third Street, Macon, GA, 31201","Match","Exact","461 3RD ST, MACON, GA, 31201","-83.628239685793,32.835103410853","81084188","R"
"1007","1942 Heritage Blvd, Robins AFB, GA, 31098","No_Match"
"3306","5816 Columbus Road, Macon, GA, 31206","Match","Exact","5816 COLUMBUS RD, MACON, GA, 31206","-83.74759941154,32.809746269737","81093099","R"
"78452","4268 Interstate Drive, Macon, GA, 31210","Match","Exact","4268 INTERSTATE DR, MACON, GA, 31210","-83.729221721838,32.827171533992","81074271","R"
"1127","835 Hillcrest Industrial Blvd., Macon, GA, 31204","Match","Exact","835 HILLCREST INDUSTRIAL BLVD, MACON, GA, 31204","-83.673115244429,32.840284598276","81071709","L"
"58747","153 Gateway Drive, Suite B, Macon, GA, 31210","Match","Non_Exact","153 GATEWAY DR, MACON, GA, 31210","-83.711295497149,32.928097420434","81086330","R"
"78455","3093 General Lee Road, Macon, GA, 31204","Match","Exact","3093 GENERAL LEE RD, MACON, GA, 31204","-83.673790724363,32.866737026749","81058942","R"
"78576","3312 Northside Drive, Building C, Suite 161, Macon, GA, 31210","Match","Non_Exact","3312 NORTHSIDE DR, MACON, GA, 31210","-83.682091798784,32.892918070525","81069934","L"
"78578","470 1st Street, Macon, GA, 31201","Match","Exact","470 1ST ST, MACON, GA, 31201","-83.631207601089,32.836689284573","81062823","L"
"78699","3115 Vineville Avenue, Macon, GA, 31204","Match","Exact","3115 VINEVILLE AVE, MACON, GA, 31204","-83.674877315701,32.850891070481","81058911","R"
"940","1501 Mercer University Drive, Macon, GA, 31207","Match","Exact","1501 MERCER UNIVERSITY DR, MACON, GA, 31207","-83.651702293643,32.825863252811","81085530","R"
"11617","1530 Mercer University Dr, Macon, GA, 31204","Match","Exact","1530 MERCER UNIVERSITY DR, MACON, GA, 31204","-83.654084718424,32.8256364717","81083753","R"
"57894","4390 Interstate Drive, Macon, GA, 31210","Match","Exact","4390 INTERSTATE DR, MACON, GA, 31210","-83.729250169015,32.82359318281","81069497","L"
"61907","5555 New Forsyth Road, Macon, GA, 31210","Match","Exact","5555 NEW FORSYTH RD, MACON, GA, 31210","-83.729429521066,32.936639204841","650750456","L"
"941","135 Osigian Boulevard, Warner Robins, GA, 31088","Match","Exact","135 OSIGIAN BLVD, WARNER ROBINS, GA, 31088","-83.687085959866,32.613766723696","91260452","L"
"1244","6717 Hawkinsville Road, Macon, GA, 31206","Match","Non_Exact","6717 HAWKINSVILLE RD, MACON, GA, 31216","-83.654397123745,32.724636343652","639988451","L"
"700","93 Gateway Drive, Macon, GA, 31210","Match","Exact","93 GATEWAY DR, MACON, GA, 31210","-83.709376732662,32.927575958456","81071517","R"
"1001","3095 Vineville Avenue, Macon, GA, 31204","Match","Exact","3095 VINEVILLE AVE, MACON, GA, 31204","-83.674301633771,32.85038455731","81058933","R"
"1122","P.O. Box 397 8 N Winston Street, Reynolds, GA, 31076","Match","Non_Exact","8 WINSTON ST, REYNOLDS, GA, 31076","-84.096227142668,32.557739617098","636967944","L"
"59710","3051 Kumho Parkway, Macon, GA, 31216","No_Match"
"78458","105 Holiday Drive North, Macon, GA, 31210","Match","Exact","105 HOLIDAY DR N, MACON, GA, 31210","-83.685804808138,32.899990085176","81081474","R"
"71709","1412 Bass Road, Macon, GA, 31210","Match","Exact","1412 BASS RD, MACON, GA, 31210","-83.74065924874,32.922483408535","81084824","L"
"78219","484 Mulberry Street #100, Macon, GA, 31201","Match","Exact","484 MULBERRY ST, MACON, GA, 31201","-83.626241856742,32.836662470997","81085936","L"
"702","536 New Street, Macon, GA, 31201","Match","Exact","536 NEW ST, MACON, GA, 31201","-83.633554825686,32.836598122825","81062779","L"
"944","3920 Arkwright Road, Suite 300, Macon, GA, 31210","Match","Exact","3920 ARKWRIGHT RD, MACON, GA, 31210","-83.68724245955,32.905905361091","640442137","L"
"705","251 Idle Hour Drive, Macon, GA, 31210","Match","Exact","251 IDLE HOUR DR, MACON, GA, 31210","-83.70813242231,32.869796137186","81057062","R"
"947","304 Pierce Avenue, Macon, GA, 31204","Match","Exact","304 PIERCE AVE, MACON, GA, 31204","-83.662513682193,32.850890112589","81076595","L"
"10521","830 High Street, Macon, GA, 31201","Match","Exact","830 HIGH ST, MACON, GA, 31201","-83.634823852059,32.836065779971","81062767","L"
"11852","1057 Parkway Drive, Suite A, Macon, GA, 31220","Match","Non_Exact","1057 PARKWAY DR, MACON, GA, 31220","-83.735586582941,32.8293600371","618723463","L"
"72916","1286 Hwy 96 East, Jeffersonville, GA, 31044","Match","Non_Exact","1286 STATE RTE 96, JEFFERSONVILLE, GA, 31044","-83.352228079663,32.671809778773","638605461","L"
